date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:50	136701/136701	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2016:47:43%20GMT	https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc	D:/My%20Web%20Sites/Symphonia/web.archive.org/web/20110612020852/music.ovi.com/in/en/pc.html	(from )
22:17:51	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202025%2016:47:51%20GMT	https://web.archive.org/robots.txt		(from )
22:17:52	15127/15127	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22672d41b8-3b17%22	http://archive.org/includes/athena.js	D:/My%20Web%20Sites/Symphonia/archive.org/includes/athena.js	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:54	24228/24228	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2004%20Feb%202025%2021:00:15%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=7YQSqjSh	D:/My%20Web%20Sites/Symphonia/web-static.archive.org/_static/js/bundle-playback2c8b.js	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:55	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2004%20Feb%202025%2021:00:20%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	D:/My%20Web%20Sites/Symphonia/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:56	9868/9868	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Feb%202025%2021:00:52%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	D:/My%20Web%20Sites/Symphonia/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:56	344533/344533	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2004%20Feb%202025%2021:00:48%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	D:/My%20Web%20Sites/Symphonia/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:57	5649/5649	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Feb%202025%2021:00:46%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	D:/My%20Web%20Sites/Symphonia/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Feb%202025%2016:47:58%20GMT	https://web.archive.org/web/20110612020852im_/http://1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon16.png	D:/My%20Web%20Sites/Symphonia/web.archive.org/web/20110612020852im_/http_/1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon16.png	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:59	375/375	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2016:47:58%20GMT	https://web.archive.org/web/20110704121150im_/http://1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon16.png	D:/My%20Web%20Sites/Symphonia/web.archive.org/web/20110704121150im_/http_/1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon16.png	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:17:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Feb%202025%2016:47:59%20GMT	https://web.archive.org/web/20110612020852im_/http://1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon32.png	D:/My%20Web%20Sites/Symphonia/web.archive.org/web/20110612020852im_/http_/1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon32.png	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
22:18:01	668/668	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2016:48:00%20GMT	https://web.archive.org/web/20110704121045im_/http://1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon32.png	D:/My%20Web%20Sites/Symphonia/web.archive.org/web/20110704121045im_/http_/1.musicimg.ovi.com/u/1.0/assets/Global/PC/images/icons/favIcon32.png	(from https://web.archive.org/web/20110612020852/music.ovi.com/in/en/pc)
